Bucket,8
,CSCI 150
,MATH 133
,MATH 134
,MATH 220
,MATH 231
,MATH 232
,MATH 301
,MATH 327
Bucket,1
,MATH 318
,MATH 320
,MATH 331
,MATH 332
,MATH 335
,MATH 338
,MATH 342
,MATH 343
,MATH 397
,STAT 336
,STAT 339
Bucket,1
,MATH 302
,MATH 317
,MATH 318
,MATH 328
,MATH 329
,MATH 331
,MATH 332
,MATH 335
,MATH 338
,MATH 342
,MATH 343
,MATH 350
,MATH 353
,MATH 354
,MATH 356
,MATH 357
,MATH 358
,MATH 370
,MATH 397
,STAT 336
,STAT 339
Bucket,1
,MATH 234
,MATH 302
,MATH 317
,MATH 318
,MATH 320
,MATH 328
,MATH 329
,MATH 331
,MATH 332
,MATH 335
,MATH 338
,MATH 342
,MATH 343
,MATH 350
,MATH 353
,MATH 354
,MATH 356
,MATH 357
,MATH 358
,MATH 370
,MATH 397
,STAT 205
,STAT 209
,STAT 213
,STAT 237
,STAT 336
,STAT 339
